Income_Low,Income_High,All_Households,<25,25-35,35-45,45-55,55-65,65-75,>75
-6,-4,1,0,0,0,0,0,0,0
-4,-2,3,1,0,0,0,1,0,0
-2,0,32,22,5,1,1,1,1,1
0,2,47,30,6,2,2,2,1,3
2,4,53,30,9,3,4,4,1,3
4,6,53,27,9,4,4,5,2,3
6,8,58,26,11,5,5,6,2,4
8,10,58,22,11,5,6,6,3,5
10,12,73,20,15,7,10,11,4,6
12,14,121,20,24,15,20,24,8,10
14,16,275,18,40,34,54,80,22,28
16,18,269,15,34,24,32,44,56,65
18,20,310,18,42,25,31,39,63,93
20,22,385,20,63,36,38,44,76,108
22,24,311,15,60,36,35,38,56,72
24,26,325,11,58,39,38,40,62,76
26,28,337,9,57,40,40,41,73,78
28,30,305,7,52,40,41,41,63,60
30,32,288,5,48,40,42,42,61,51
32,34,275,4,42,39,42,42,61,44
34,36,259,4,37,37,41,42,60,39
36,38,239,3,33,35,40,41,54,32
38,40,220,3,31,34,39,41,46,26
40,42,209,3,30,33,39,40,41,22
42,44,203,3,31,33,38,39,39,19
44,46,199,3,32,33,39,38,36,18
46,48,195,3,33,34,39,38,32,15
48,50,189,3,34,34,39,37,29,12
50,52,183,2,34,35,39,36,26,10
52,54,175,2,34,35,39,35,22,8
54,56,167,1,32,34,39,34,20,7
56,58,159,1,30,34,39,32,17,6
58,60,150,1,27,33,38,31,15,5
60,62,140,1,24,31,37,30,13,4
62,64,129,0,20,29,36,28,12,4
64,66,119,0,17,27,34,26,10,3
66,68,111,0,15,25,33,25,9,3
68,70,101,0,13,23,31,23,8,2
70,72,92,0,11,21,30,22,7,2
72,74,84,0,9,19,28,20,6,2
74,76,77,0,8,17,26,19,6,2
76,78,70,0,7,15,24,18,5,1
78,80,64,0,6,14,22,16,4,1
80,82,58,0,5,12,21,15,4,1
82,84,52,0,4,11,19,14,3,1
84,86,48,0,4,10,17,13,3,1
86,88,43,0,3,9,16,12,3,1
88,90,39,0,3,8,14,11,3,1
90,92,35,0,3,7,13,10,2,1
92,94,32,0,2,6,12,9,2,1
94,96,29,0,2,6,11,8,2,0
96,98,26,0,2,5,10,7,2,0
98,100,24,0,2,5,9,7,2,0
100,102,22,0,1,4,8,6,1,0
102,104,20,0,1,4,8,6,1,0
104,106,18,0,1,4,7,5,1,0
106,108,16,0,1,3,6,5,1,0
108,110,15,0,1,3,6,4,1,0
110,112,14,0,1,3,5,4,1,0
112,114,13,0,1,3,5,4,1,0
114,116,12,0,1,2,4,3,1,0
116,118,11,0,1,2,4,3,1,0
118,120,10,0,1,2,4,3,1,0
120,122,9,0,1,2,3,3,1,0
122,124,8,0,0,2,3,2,1,0
124,126,8,0,0,2,3,2,0,0
126,128,7,0,0,1,3,2,0,0
128,130,6,0,0,1,3,2,0,0
130,132,6,0,0,1,2,2,0,0
132,134,6,0,0,1,2,2,0,0
134,136,5,0,0,1,2,2,0,0
136,138,5,0,0,1,2,1,0,0
138,140,5,0,0,1,2,1,0,0
