,Bins,Monthly_Average_Income,<25,25-35,35-45,45-55,55-65,65-75,>75
0,0,-5.0,0,0,0,0,0,0,0
1,1,-3.0,1,0,0,0,1,0,0
2,2,-1.0,22,5,1,1,1,1,1
3,3,1.0,30,6,2,2,2,1,3
4,4,3.0,30,9,3,4,4,1,3
5,5,5.0,27,9,4,4,5,2,3
6,6,7.0,26,11,5,5,6,2,4
7,7,9.0,22,11,5,6,6,3,5
8,8,11.0,20,15,7,10,11,4,6
9,9,13.0,20,24,15,20,24,8,10
10,10,15.0,18,40,34,54,80,22,28
11,11,17.0,15,34,24,32,44,56,65
12,12,19.0,18,42,25,31,39,63,93
13,13,21.0,20,63,36,38,44,76,108
14,14,23.0,15,60,36,35,38,56,72
15,15,25.0,11,58,39,38,40,62,76
16,16,27.0,9,57,40,40,41,73,78
17,17,29.0,7,52,40,41,41,63,60
18,18,31.0,5,48,40,42,42,61,51
19,19,33.0,4,42,39,42,42,61,44
20,20,35.0,4,37,37,41,42,60,39
21,21,37.0,3,33,35,40,41,54,32
22,22,39.0,3,31,34,39,41,46,26
23,23,41.0,3,30,33,39,40,41,22
24,24,43.0,3,31,33,38,39,39,19
25,25,45.0,3,32,33,39,38,36,18
26,26,47.0,3,33,34,39,38,32,15
27,27,49.0,3,34,34,39,37,29,12
28,28,51.0,2,34,35,39,36,26,10
29,29,53.0,2,34,35,39,35,22,8
30,30,55.0,1,32,34,39,34,20,7
31,31,57.0,1,30,34,39,32,17,6
32,32,59.0,1,27,33,38,31,15,5
33,33,61.0,1,24,31,37,30,13,4
34,34,63.0,0,20,29,36,28,12,4
35,35,65.0,0,17,27,34,26,10,3
36,36,67.0,0,15,25,33,25,9,3
37,37,69.0,0,13,23,31,23,8,2
38,38,71.0,0,11,21,30,22,7,2
39,39,73.0,0,9,19,28,20,6,2
40,40,75.0,0,8,17,26,19,6,2
41,41,77.0,0,7,15,24,18,5,1
42,42,79.0,0,6,14,22,16,4,1
43,43,81.0,0,5,12,21,15,4,1
44,44,83.0,0,4,11,19,14,3,1
45,45,85.0,0,4,10,17,13,3,1
46,46,87.0,0,3,9,16,12,3,1
47,47,89.0,0,3,8,14,11,3,1
48,48,91.0,0,3,7,13,10,2,1
49,49,93.0,0,2,6,12,9,2,1
50,50,95.0,0,2,6,11,8,2,0
51,51,97.0,0,2,5,10,7,2,0
52,52,99.0,0,2,5,9,7,2,0
53,53,101.0,0,1,4,8,6,1,0
54,54,103.0,0,1,4,8,6,1,0
55,55,105.0,0,1,4,7,5,1,0
56,56,107.0,0,1,3,6,5,1,0
57,57,109.0,0,1,3,6,4,1,0
58,58,111.0,0,1,3,5,4,1,0
59,59,113.0,0,1,3,5,4,1,0
60,60,115.0,0,1,2,4,3,1,0
61,61,117.0,0,1,2,4,3,1,0
62,62,119.0,0,1,2,4,3,1,0
63,63,121.0,0,1,2,3,3,1,0
64,64,123.0,0,0,2,3,2,1,0
65,65,125.0,0,0,2,3,2,0,0
66,66,127.0,0,0,1,3,2,0,0
67,67,129.0,0,0,1,3,2,0,0
68,68,131.0,0,0,1,2,2,0,0
69,69,133.0,0,0,1,2,2,0,0
70,70,135.0,0,0,1,2,2,0,0
71,71,137.0,0,0,1,2,1,0,0
72,72,139.0,0,0,1,2,1,0,0
