,Bins,Monthly_Average_Income,<25,25-35,35-45,45-55,55-65,65-75,>75
0,0,-416.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,-250.0,0.0028328611898017,0.0,0.0,0.0,0.0007194244604316547,0.0,0.0
2,2,-83.33333333333333,0.06515580736543909,0.00425531914893617,0.0008460236886632825,0.0006765899864682003,0.0014388489208633094,0.0008547008547008547,0.0010416666666666667
3,3,83.33333333333333,0.15014164305949007,0.009361702127659573,0.0025380710659898475,0.0020297699594046007,0.0028776978417266188,0.0017094017094017094,0.004166666666666667
4,4,250.0,0.23512747875354106,0.017021276595744678,0.005076142131979695,0.004736129905277402,0.0057553956834532375,0.002564102564102564,0.007291666666666667
5,5,416.6666666666667,0.311614730878187,0.024680851063829785,0.008460236886632826,0.007442489851150203,0.00935251798561151,0.004273504273504274,0.010416666666666668
6,6,583.3333333333334,0.3852691218130312,0.03404255319148936,0.012690355329949238,0.010825439783491205,0.013669064748201438,0.005982905982905983,0.014583333333333334
7,7,750.0,0.4475920679886686,0.04340425531914894,0.01692047377326565,0.014884979702300407,0.017985611510791366,0.008547008547008548,0.019791666666666666
8,8,916.6666666666666,0.5042492917847026,0.05617021276595745,0.02284263959390863,0.02165087956698241,0.025899280575539568,0.011965811965811967,0.026041666666666664
9,9,1083.3333333333333,0.5609065155807366,0.07659574468085106,0.035532994923857864,0.035182679296346414,0.043165467625899276,0.018803418803418806,0.03645833333333333
10,10,1250.0,0.6118980169971672,0.11063829787234042,0.06429780033840947,0.07171853856562924,0.10071942446043165,0.03760683760683761,0.06562499999999999
11,11,1416.6666666666667,0.6543909348441926,0.13957446808510637,0.08460236886632824,0.09336941813261165,0.13237410071942446,0.08547008547008547,0.1333333333333333
12,12,1583.3333333333333,0.7053824362606232,0.1753191489361702,0.10575296108291031,0.11434370771312587,0.160431654676259,0.13931623931623932,0.2302083333333333
13,13,1750.0,0.7620396600566572,0.22893617021276597,0.13620981387478848,0.14005412719891747,0.1920863309352518,0.20427350427350427,0.3427083333333333
14,14,1916.6666666666667,0.8045325779036827,0.28,0.16666666666666666,0.16373477672530448,0.21942446043165467,0.25213675213675213,0.4177083333333333
15,15,2083.3333333333335,0.8356940509915014,0.3293617021276596,0.1996615905245347,0.1894451962110961,0.24820143884892087,0.3051282051282051,0.49687499999999996
16,16,2250.0,0.8611898016997167,0.3778723404255319,0.233502538071066,0.21650879566982412,0.2776978417266187,0.3675213675213675,0.578125
17,17,2416.6666666666665,0.8810198300283286,0.4221276595744681,0.2673434856175973,0.24424898511502033,0.30719424460431655,0.4213675213675213,0.640625
18,18,2583.3333333333335,0.8951841359773371,0.4629787234042553,0.3011844331641286,0.27266576454668473,0.33741007194244604,0.47350427350427343,0.69375
19,19,2750.0,0.9065155807365439,0.49872340425531914,0.3341793570219966,0.30108254397834916,0.36762589928057554,0.5256410256410255,0.7395833333333333
20,20,2916.6666666666665,0.9178470254957507,0.5302127659574468,0.36548223350253806,0.3288227334235454,0.39784172661870504,0.5769230769230769,0.7802083333333333
21,21,3083.3333333333335,0.9263456090651558,0.5582978723404255,0.39509306260575294,0.3558863328822734,0.4273381294964029,0.6230769230769231,0.8135416666666666
22,22,3250.0,0.934844192634561,0.5846808510638297,0.42385786802030456,0.3822733423545332,0.4568345323741007,0.6623931623931624,0.840625
23,23,3416.6666666666665,0.9433427762039661,0.6102127659574468,0.4517766497461929,0.408660351826793,0.4856115107913669,0.6974358974358974,0.8635416666666667
24,24,3583.3333333333335,0.9518413597733713,0.636595744680851,0.47969543147208127,0.4343707713125846,0.5136690647482014,0.7307692307692307,0.8833333333333333
25,25,3750.0,0.9603399433427764,0.6638297872340425,0.5076142131979696,0.4607577807848444,0.5410071942446043,0.7615384615384615,0.9020833333333333
26,26,3916.6666666666665,0.9688385269121815,0.6919148936170212,0.5363790186125212,0.4871447902571042,0.5683453237410072,0.7888888888888889,0.9177083333333333
27,27,4083.3333333333335,0.9773371104815867,0.7208510638297871,0.5651438240270729,0.513531799729364,0.5949640287769784,0.8136752136752137,0.9302083333333333
28,28,4250.0,0.9830028328611901,0.7497872340425531,0.5947546531302877,0.5399188092016238,0.620863309352518,0.8358974358974359,0.9406249999999999
29,29,4416.666666666667,0.9886685552407934,0.778723404255319,0.6243654822335026,0.5663058186738836,0.6460431654676259,0.8547008547008548,0.9489583333333332
30,30,4583.333333333333,0.9915014164305952,0.8059574468085106,0.6531302876480543,0.5926928281461434,0.6705035971223021,0.8717948717948719,0.9562499999999999
31,31,4750.0,0.994334277620397,0.8314893617021276,0.6818950930626059,0.6190798376184032,0.6935251798561151,0.8863247863247864,0.9624999999999999
