,Variable,Parameter,Gini
0,price_lower,10000.0,0.5291163895975017
0,price_lower,10000.0,0.5183026710726257
0,price_lower,10000.0,0.5287770618756088
0,price_lower,10000.0,0.5452009492001045
0,price_lower,10000.0,0.496043522701812
0,price_lower,17272.727272727272,0.5379451438137343
0,price_lower,17272.727272727272,0.5392301234421517
0,price_lower,17272.727272727272,0.5345003026791698
0,price_lower,17272.727272727272,0.5272409793602189
0,price_lower,17272.727272727272,0.5524583688874513
0,price_lower,24545.454545454544,0.5208865755467839
0,price_lower,24545.454545454544,0.47160335662735453
0,price_lower,24545.454545454544,0.5208160705813598
0,price_lower,24545.454545454544,0.545699441029868
0,price_lower,24545.454545454544,0.5473957299738114
0,price_lower,31818.18181818182,0.5385816299418918
0,price_lower,31818.18181818182,0.5358380600978563
0,price_lower,31818.18181818182,0.5261258074847345
0,price_lower,31818.18181818182,0.5191228633483941
0,price_lower,31818.18181818182,0.49444366892317015
0,price_lower,39090.90909090909,0.5114505883427678
0,price_lower,39090.90909090909,0.5496978516907592
0,price_lower,39090.90909090909,0.5230678664163679
0,price_lower,39090.90909090909,0.4889488327443424
0,price_lower,39090.90909090909,0.503305070981207
0,price_lower,46363.63636363637,0.5226409837753668
0,price_lower,46363.63636363637,0.5261959546242334
0,price_lower,46363.63636363637,0.5124416297092131
0,price_lower,46363.63636363637,0.5108177086283064
0,price_lower,46363.63636363637,0.4857989950364752
0,price_lower,53636.36363636364,0.523617291213381
0,price_lower,53636.36363636364,0.5383222819079808
0,price_lower,53636.36363636364,0.5525138569486577
0,price_lower,53636.36363636364,0.508511279848601
0,price_lower,53636.36363636364,0.5013444069515821
0,price_lower,60909.09090909091,0.507301970903578
0,price_lower,60909.09090909091,0.5105587684724346
0,price_lower,60909.09090909091,0.529716500738164
0,price_lower,60909.09090909091,0.5293784248802617
0,price_lower,60909.09090909091,0.4923770670841615
0,price_lower,68181.81818181818,0.544889110403807
0,price_lower,68181.81818181818,0.5278505623952187
0,price_lower,68181.81818181818,0.4953670097654765
0,price_lower,68181.81818181818,0.5263513735344773
0,price_lower,68181.81818181818,0.5158090450973367
0,price_lower,75454.54545454546,0.5607577532072996
0,price_lower,75454.54545454546,0.5004164575594525
0,price_lower,75454.54545454546,0.5390004823774356
0,price_lower,75454.54545454546,0.5312260025129514
0,price_lower,75454.54545454546,0.4927473435114391
0,price_lower,82727.27272727274,0.5462076815397477
0,price_lower,82727.27272727274,0.5258890716016161
0,price_lower,82727.27272727274,0.5213995515847859
0,price_lower,82727.27272727274,0.5155344474572915
0,price_lower,82727.27272727274,0.5281175773937079
0,price_lower,90000.0,0.5397764665848224
0,price_lower,90000.0,0.5402568562916089
0,price_lower,90000.0,0.5102057097682454
0,price_lower,90000.0,0.5057854063482164
0,price_lower,90000.0,0.5271237372240422
