,Variable,Parameter,Gini
0,savings_upper,1.0,0.6217738851354225
0,savings_upper,1.0,0.5818865666424204
0,savings_upper,1.0,0.6456576588533455
0,savings_upper,1.0,0.6213587601560194
0,savings_upper,1.0,0.6440602825662626
0,savings_upper,1.0,0.6185523027329395
0,savings_upper,1.0,0.6130671999986801
0,savings_upper,1.0,0.602608260945173
0,savings_upper,1.0,0.5825009160532085
0,savings_upper,1.0,0.6450366134009254
0,savings_upper,1.0,0.605579481222582
0,savings_upper,1.0,0.6405133197715411
0,savings_upper,1.0,0.5796131045295877
0,savings_upper,1.0,0.6142177250152616
0,savings_upper,1.0,0.6107165336322274
0,savings_upper,1.0,0.6037070998850224
0,savings_upper,1.0,0.5989640402253928
0,savings_upper,1.0,0.6032254395400075
0,savings_upper,1.0,0.5790080742195511
0,savings_upper,1.0,0.5908167371658846
0,savings_upper,1.0,0.5994719946067887
0,savings_upper,1.0,0.6085891775194753
0,savings_upper,1.0,0.6422443659203745
0,savings_upper,1.0,0.5512604782416863
0,savings_upper,1.0,0.5635606535470621
0,savings_upper,1.0,0.6003720890200803
0,savings_upper,1.0,0.5729179493366833
0,savings_upper,1.0,0.6250457966400007
0,savings_upper,1.0,0.5817383896979518
0,savings_upper,1.0,0.5827260190571567
0,savings_upper,1.0,0.5776325672193519
0,savings_upper,1.0,0.6177465219070207
0,savings_upper,1.0,0.6416560470202486
0,savings_upper,1.0,0.6178543652861658
0,savings_upper,1.0,0.6301447734786938
0,savings_upper,1.0,0.5869400402422743
0,savings_upper,1.0,0.6188185805119749
0,savings_upper,1.0,0.6057983560831377
0,savings_upper,1.0,0.5968122346942094
0,savings_upper,1.0,0.6605133793089342
0,savings_upper,1.0,0.5973010842570505
0,savings_upper,1.0,0.6352909119039126
0,savings_upper,1.0,0.6256408684364013
0,savings_upper,1.0,0.6170518429217078
0,savings_upper,1.0,0.6020476657353758
0,savings_upper,1.0,0.6204299426955958
0,savings_upper,1.0,0.5987551250498456
0,savings_upper,1.0,0.5993831560454672
0,savings_upper,1.0,0.6558571841248001
0,savings_upper,1.0,0.6286339289501847
0,savings_upper,9091.818181818182,0.6271780380041977
0,savings_upper,9091.818181818182,0.5879134819170827
0,savings_upper,9091.818181818182,0.5814888538711434
0,savings_upper,9091.818181818182,0.6133956625226873
0,savings_upper,9091.818181818182,0.6053027967384353
0,savings_upper,9091.818181818182,0.596538731136333
0,savings_upper,9091.818181818182,0.5956939579699805
0,savings_upper,9091.818181818182,0.593279855810305
0,savings_upper,9091.818181818182,0.6061129085870606
0,savings_upper,9091.818181818182,0.6423159785030013
0,savings_upper,9091.818181818182,0.6107875219529614
0,savings_upper,9091.818181818182,0.6245912911973514
0,savings_upper,9091.818181818182,0.5979201600403352
0,savings_upper,9091.818181818182,0.6012915818780405
0,savings_upper,9091.818181818182,0.5917730414259068
0,savings_upper,9091.818181818182,0.5809140902247776
0,savings_upper,9091.818181818182,0.5876535754497948
0,savings_upper,9091.818181818182,0.5892688624981274
0,savings_upper,9091.818181818182,0.6179710370663002
0,savings_upper,9091.818181818182,0.5858732392384507
0,savings_upper,9091.818181818182,0.6020473449419603
0,savings_upper,9091.818181818182,0.6341991142546772
0,savings_upper,9091.818181818182,0.6127004605828871
0,savings_upper,9091.818181818182,0.6088615492749591
0,savings_upper,9091.818181818182,0.6187389415147072
0,savings_upper,9091.818181818182,0.5657559301351027
0,savings_upper,9091.818181818182,0.6388964648321009
0,savings_upper,9091.818181818182,0.5600549908623603
0,savings_upper,9091.818181818182,0.6177976809015275
0,savings_upper,9091.818181818182,0.591373882253135
0,savings_upper,9091.818181818182,0.5614963202721425
0,savings_upper,9091.818181818182,0.5780725348909103
0,savings_upper,9091.818181818182,0.604424287632009
0,savings_upper,9091.818181818182,0.6375052077313507
0,savings_upper,9091.818181818182,0.6196516894064149
0,savings_upper,9091.818181818182,0.5806414259586907
0,savings_upper,9091.818181818182,0.6404864421208128
0,savings_upper,9091.818181818182,0.6365991591062646
0,savings_upper,9091.818181818182,0.5701421804438026
0,savings_upper,9091.818181818182,0.7001151892620326
0,savings_upper,9091.818181818182,0.6357093321401119
0,savings_upper,9091.818181818182,0.5593871445049424
0,savings_upper,9091.818181818182,0.5687214513172765
0,savings_upper,9091.818181818182,0.5902161055554368
0,savings_upper,9091.818181818182,0.5959636037996539
0,savings_upper,9091.818181818182,0.6011026151382266
0,savings_upper,9091.818181818182,0.5723706432048224
0,savings_upper,9091.818181818182,0.6250011897060493
0,savings_upper,9091.818181818182,0.5935048656496051
0,savings_upper,9091.818181818182,0.5513155591764278
0,savings_upper,18182.636363636364,0.5670203135158625
0,savings_upper,18182.636363636364,0.6126523628726729
0,savings_upper,18182.636363636364,0.6232805657634994
0,savings_upper,18182.636363636364,0.6330031598126971
0,savings_upper,18182.636363636364,0.5805773562601977
0,savings_upper,18182.636363636364,0.5682169864668892
0,savings_upper,18182.636363636364,0.586239319105961
0,savings_upper,18182.636363636364,0.6501870445425448
0,savings_upper,18182.636363636364,0.5721794479457382
0,savings_upper,18182.636363636364,0.5658231574290115
0,savings_upper,18182.636363636364,0.5519901218577064
0,savings_upper,18182.636363636364,0.6584565958771347
0,savings_upper,18182.636363636364,0.6110262076631828
0,savings_upper,18182.636363636364,0.642207037515378
0,savings_upper,18182.636363636364,0.5877841978247423
0,savings_upper,18182.636363636364,0.65565113672875
0,savings_upper,18182.636363636364,0.6105922868582967
0,savings_upper,18182.636363636364,0.6057162188198348
0,savings_upper,18182.636363636364,0.6087780395073341
0,savings_upper,18182.636363636364,0.592950350471544
0,savings_upper,18182.636363636364,0.6195639662096504
0,savings_upper,18182.636363636364,0.5860989859660783
0,savings_upper,18182.636363636364,0.5769730600782933
0,savings_upper,18182.636363636364,0.5682155382473169
0,savings_upper,18182.636363636364,0.6384063375233741
0,savings_upper,18182.636363636364,0.6175782758181667
0,savings_upper,18182.636363636364,0.6454554717845153
0,savings_upper,18182.636363636364,0.6038762239599704
0,savings_upper,18182.636363636364,0.5756420473356468
0,savings_upper,18182.636363636364,0.5850878049260095
0,savings_upper,18182.636363636364,0.5974769219568863
0,savings_upper,18182.636363636364,0.5872572901334557
0,savings_upper,18182.636363636364,0.6514404328816471
0,savings_upper,18182.636363636364,0.5247015877540574
0,savings_upper,18182.636363636364,0.5771851041851033
0,savings_upper,18182.636363636364,0.6508476541819699
0,savings_upper,18182.636363636364,0.6240436385801161
0,savings_upper,18182.636363636364,0.5597624018522428
0,savings_upper,18182.636363636364,0.6122087474223619
0,savings_upper,18182.636363636364,0.6234263365751014
0,savings_upper,18182.636363636364,0.6284691662772935
0,savings_upper,18182.636363636364,0.6254947954337209
0,savings_upper,18182.636363636364,0.5683753314743125
0,savings_upper,18182.636363636364,0.5946507833677814
0,savings_upper,18182.636363636364,0.632561540219576
0,savings_upper,18182.636363636364,0.5733293533163804
0,savings_upper,18182.636363636364,0.6161867139107824
0,savings_upper,18182.636363636364,0.5828070833132387
0,savings_upper,18182.636363636364,0.594042691686148
0,savings_upper,18182.636363636364,0.598503117974444
0,savings_upper,27273.454545454544,0.5836487433058968
0,savings_upper,27273.454545454544,0.596181471903184
0,savings_upper,27273.454545454544,0.633428314958033
0,savings_upper,27273.454545454544,0.5370998778337599
0,savings_upper,27273.454545454544,0.5616463734095711
0,savings_upper,27273.454545454544,0.5832508345509329
0,savings_upper,27273.454545454544,0.5352199434927257
0,savings_upper,27273.454545454544,0.5877320543077769
0,savings_upper,27273.454545454544,0.5459836606918415
0,savings_upper,27273.454545454544,0.6704516983949664
0,savings_upper,27273.454545454544,0.6205350941229502
0,savings_upper,27273.454545454544,0.5856190863662587
0,savings_upper,27273.454545454544,0.552461267766583
0,savings_upper,27273.454545454544,0.6172876443237258
0,savings_upper,27273.454545454544,0.5873057382079027
0,savings_upper,27273.454545454544,0.6101771014766968
0,savings_upper,27273.454545454544,0.6013905437880365
0,savings_upper,27273.454545454544,0.5969152850706528
0,savings_upper,27273.454545454544,0.5836369355338682
0,savings_upper,27273.454545454544,0.6149010004327773
0,savings_upper,27273.454545454544,0.541832798154391
0,savings_upper,27273.454545454544,0.5698241577518381
0,savings_upper,27273.454545454544,0.5861445678737007
0,savings_upper,27273.454545454544,0.6159020091432784
0,savings_upper,27273.454545454544,0.6183358668166669
0,savings_upper,27273.454545454544,0.5409641066880465
0,savings_upper,27273.454545454544,0.6236968497075882
0,savings_upper,27273.454545454544,0.6396688812422816
0,savings_upper,27273.454545454544,0.6052849300341614
0,savings_upper,27273.454545454544,0.5970032139810213
0,savings_upper,27273.454545454544,0.6132674947129062
0,savings_upper,27273.454545454544,0.565465700986379
0,savings_upper,27273.454545454544,0.5630890807258917
0,savings_upper,27273.454545454544,0.5832585003181091
0,savings_upper,27273.454545454544,0.550185487905975
0,savings_upper,27273.454545454544,0.5785070338703237
0,savings_upper,27273.454545454544,0.5622958091323204
0,savings_upper,27273.454545454544,0.525801516541546
0,savings_upper,27273.454545454544,0.6176045603110558
0,savings_upper,27273.454545454544,0.6069031224840272
0,savings_upper,27273.454545454544,0.6097693513791532
0,savings_upper,27273.454545454544,0.5520308844884784
0,savings_upper,27273.454545454544,0.5868254074340823
0,savings_upper,27273.454545454544,0.5788928520458265
0,savings_upper,27273.454545454544,0.5857076663894953
0,savings_upper,27273.454545454544,0.5174255505173685
0,savings_upper,27273.454545454544,0.5869239474008555
0,savings_upper,27273.454545454544,0.5747507739150088
0,savings_upper,27273.454545454544,0.5843906487987454
0,savings_upper,27273.454545454544,0.6109791972268646
0,savings_upper,36364.27272727273,0.5930775443519598
0,savings_upper,36364.27272727273,0.5715622451017669
0,savings_upper,36364.27272727273,0.6017217532193537
0,savings_upper,36364.27272727273,0.5350982891850146
0,savings_upper,36364.27272727273,0.5960023442883514
0,savings_upper,36364.27272727273,0.544283926577608
0,savings_upper,36364.27272727273,0.5351126362382604
0,savings_upper,36364.27272727273,0.5653756829562147
0,savings_upper,36364.27272727273,0.5446319067503593
0,savings_upper,36364.27272727273,0.6048148584933053
0,savings_upper,36364.27272727273,0.5748836661442888
0,savings_upper,36364.27272727273,0.5324797519555183
0,savings_upper,36364.27272727273,0.5680216298736591
0,savings_upper,36364.27272727273,0.56168096488446
0,savings_upper,36364.27272727273,0.5812797174610178
0,savings_upper,36364.27272727273,0.5442844748669734
0,savings_upper,36364.27272727273,0.6284078137232415
0,savings_upper,36364.27272727273,0.589876516672203
0,savings_upper,36364.27272727273,0.6004909675931129
0,savings_upper,36364.27272727273,0.5754437247570847
0,savings_upper,36364.27272727273,0.5190177359017561
0,savings_upper,36364.27272727273,0.6009988039562262
0,savings_upper,36364.27272727273,0.634773471572454
0,savings_upper,36364.27272727273,0.5620350784675777
0,savings_upper,36364.27272727273,0.6152922939624837
0,savings_upper,36364.27272727273,0.5459329517630487
